Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
William F. Goodling,Republican,19th,Pennsylvania,1975-01-03,2001-01-03,1975,2001,9497 days,26.019178082191782,104,1995,1997,20
James C. Greenwood,Republican,8th,Pennsylvania,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,104,1995,1997,2
Tim Holden,Democratic,6th,Pennsylvania,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Paul E. Kanjorski,Democratic,11th,Pennsylvania,1985-01-03,2011-01-03,1985,2011,9496 days,26.016438356164382,104,1995,1997,10
Ron Klink,Democratic,4th,Pennsylvania,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Frank Mascara,Democratic,20th,Pennsylvania,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Joseph M. McDade,Republican,10th,Pennsylvania,1963-01-03,1999-01-03,1963,1999,13149 days,36.02465753424657,104,1995,1997,32
Paul McHale,Democratic,15th,Pennsylvania,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
John Murtha,Democratic,12th,Pennsylvania,1974-02-05,2010-02-08,1974,2010,13152 days,36.032876712328765,104,1995,1997,21
"Elmer ""Bud"" Shuster",Republican,9th,Pennsylvania,1973-01-03,2001-02-03,1973,2001,10258 days,28.104109589041094,104,1995,1997,22
Robert S. Walker,Republican,16th,Pennsylvania,1977-01-03,1997-01-03,1977,1997,7305 days,20.013698630136986,104,1995,1997,18
Curt Weldon,Republican,7th,Pennsylvania,1987-01-03,2007-01-03,1987,2007,7305 days,20.013698630136986,104,1995,1997,8
Patrick Kennedy,Democratic,1st,Rhode_Island,1995-01-03,2011-01-03,1995,2011,5844 days,16.01095890410959,104,1995,1997,0
Jack Reed,Democratic,2nd,Rhode_Island,1991-01-03,1997-01-03,1991,1997,2192 days,6.005479452054795,104,1995,1997,4
Jim Clyburn,Democratic,6th,South_Carolina,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,104,1995,1997,2
Lindsey Graham,Republican,3rd,South_Carolina,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Bob Inglis,Republican,4th,South_Carolina,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,104,1995,1997,2
Mark Sanford,Republican,1st,South_Carolina,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,104,1995,1997,0
Floyd Spence,Republican,2nd,South_Carolina,1971-01-03,2001-08-16,1971,2001,11183 days,30.638356164383563,104,1995,1997,24
John Spratt,Democratic,5th,South_Carolina,1983-01-03,2011-01-03,1983,2011,10227 days,28.019178082191782,104,1995,1997,12
Tim Johnson,Democratic,At-large,South_Dakota,1987-01-03,1997-01-03,1987,1997,3653 days,10.008219178082191,104,1995,1997,8
Ed Bryant,Republican,7th,Tennessee,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Bob Clement,Democratic,5th,Tennessee,1988-01-19,2003-01-03,1988,2003,5463 days,14.967123287671233,104,1995,1997,7
Jimmy Duncan,Republican,2nd,Tennessee,1988-11-08,2019-01-03,1988,2019,11013 days,30.172602739726027,104,1995,1997,7
Harold Ford Sr.,Democratic,9th,Tennessee,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Bart Gordon,Democratic,6th,Tennessee,1985-01-03,2011-01-03,1985,2011,9496 days,26.016438356164382,104,1995,1997,10
Van Hilleary,Republican,4th,Tennessee,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Jimmy Quillen,Republican,1st,Tennessee,1963-01-03,1997-01-03,1963,1997,12419 days,34.02465753424657,104,1995,1997,32
John S. Tanner,Democratic,8th,Tennessee,1989-01-03,2011-01-03,1989,2011,8035 days,22.013698630136986,104,1995,1997,6
Zach Wamp,Republican,3rd,Tennessee,1995-01-03,2011-01-03,1995,2011,5844 days,16.01095890410959,104,1995,1997,0
William Reynolds Archer Jr.,Republican,7th,Texas,1971-01-03,2001-01-03,1971,2001,10958 days,30.02191780821918,104,1995,1997,24
Dick Armey,Republican,26th,Texas,1985-01-03,2003-01-03,1985,2003,6574 days,18.01095890410959,104,1995,1997,10
Joe Barton,Republican,6th,Texas,1985-01-03,2019-01-03,1985,2019,12418 days,34.02191780821918,104,1995,1997,10
Ken Bentsen Jr.,Democratic,25th,Texas,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,104,1995,1997,0
Henry Bonilla,Republican,23rd,Texas,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,104,1995,1997,2
John Wiley Bryant,Democratic,5th,Texas,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Jim Chapman,Democratic,1st,Texas,1985-08-03,1997-01-03,1985,1997,4171 days,11.427397260273972,104,1995,1997,10
Ronald D. Coleman,Democratic,16th,Texas,1983-01-03,1997-01-03,1983,1997,5114 days,14.01095890410959,104,1995,1997,12
Larry Combest,Republican,19th,Texas,1985-01-03,2003-05-31,1985,2003,6722 days,18.416438356164385,104,1995,1997,10
Kika de la Garza,Democratic,15th,Texas,1965-01-03,1997-01-03,1965,1997,11688 days,32.02191780821918,104,1995,1997,30
Tom DeLay,Republican,22nd,Texas,1985-01-03,2006-06-09,1985,2006,7827 days,21.443835616438356,104,1995,1997,10
Lloyd Doggett,Democratic,10th,Texas,1995-01-03,2005-01-03,1995,2005,3653 days,10.008219178082191,104,1995,1997,0
Chet Edwards,Democratic,11th,Texas,1991-01-03,2005-01-03,1991,2005,5114 days,14.01095890410959,104,1995,1997,4
Jack Fields,Republican,8th,Texas,1981-01-03,1997-01-03,1981,1997,5844 days,16.01095890410959,104,1995,1997,14
Martin Frost,Democratic,24th,Texas,1979-01-03,2005-01-03,1979,2005,9497 days,26.019178082191782,104,1995,1997,16
Pete Geren,Democratic,12th,Texas,1989-09-12,1997-01-03,1989,1997,2670 days,7.315068493150685,104,1995,1997,6
Henry B. Gonzalez,Democratic,20th,Texas,1961-11-04,1999-01-03,1961,1999,13574 days,37.18904109589041,104,1995,1997,34
Gene Green,Democratic,29th,Texas,1993-01-03,2019-01-03,1993,2019,9496 days,26.016438356164382,104,1995,1997,2
Ralph Hall,Democratic,4th,Texas,1981-01-03,2004-01-05,1981,2004,8402 days,23.019178082191782,104,1995,1997,14
Sheila Jackson Lee,Democratic,18th,Texas,1995-01-03,2021-11-28,1995,2021,9826 days,26.92054794520548,104,1995,1997,0
Eddie Bernice Johnson,Democratic,30th,Texas,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,104,1995,1997,2
Sam Johnson,Republican,3rd,Texas,1991-05-08,2019-01-03,1991,2019,10102 days,27.676712328767124,104,1995,1997,4
Greg Laughlin,Republican,14th,Texas,1995-06-26,1997-01-03,1995,1997,557 days,1.526027397260274,104,1995,1997,0
Solomon P. Ortiz,Democratic,27th,Texas,1983-01-03,2011-01-03,1983,2011,10227 days,28.019178082191782,104,1995,1997,12
Lamar S. Smith,Republican,21st,Texas,1987-01-03,2019-01-03,1987,2019,11688 days,32.02191780821918,104,1995,1997,8
Charles Stenholm,Democratic,17th,Texas,1979-01-03,2005-01-03,1979,2005,9497 days,26.019178082191782,104,1995,1997,16
Steve Stockman,Republican,9th,Texas,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Frank Tejeda,Democratic,28th,Texas,1993-01-03,1997-01-30,1993,1997,1488 days,4.076712328767123,104,1995,1997,2
Mac Thornberry,Republican,13th,Texas,1995-01-03,2021-01-03,1995,2021,9497 days,26.019178082191782,104,1995,1997,0
Charlie Wilson,Democratic,2nd,Texas,1973-01-03,1997-01-03,1973,1997,8766 days,24.016438356164382,104,1995,1997,22
Enid Greene,Republican,2nd,Utah,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
James V. Hansen,Republican,1st,Utah,1981-01-03,2003-01-03,1981,2003,8035 days,22.013698630136986,104,1995,1997,14
Bill Orton,Democratic,3rd,Utah,1991-01-03,1997-01-03,1991,1997,2192 days,6.005479452054795,104,1995,1997,4
Bernie Sanders,Independent,At-large,Vermont,1991-01-03,2007-01-03,1991,2007,5844 days,16.01095890410959,104,1995,1997,4
Herbert H. Bateman,Republican,1st,Virginia,1983-01-03,2000-09-11,1983,2000,6461 days,17.7013698630137,104,1995,1997,12
Thomas J. Bliley Jr.,Republican,7th,Virginia,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Rick Boucher,Democratic,9th,Virginia,1983-01-03,2011-01-03,1983,2011,10227 days,28.019178082191782,104,1995,1997,12
Thomas M. Davis,Republican,11th,Virginia,1995-01-03,2008-11-24,1995,2008,5074 days,13.901369863013699,104,1995,1997,0
Richard W. Goodlatte,Republican,6th,Virginia,1993-01-03,2019-01-03,1993,2019,9496 days,26.016438356164382,104,1995,1997,2
James P. Moran Jr.,Democratic,8th,Virginia,1991-01-03,2015-01-03,1991,2015,8766 days,24.016438356164382,104,1995,1997,4
Lewis F. Payne Jr.,Democratic,5th,Virginia,1988-06-14,1997-01-03,1988,1997,3125 days,8.561643835616438,104,1995,1997,7
Owen B. Pickett,Democratic,2nd,Virginia,1987-01-03,2001-01-03,1987,2001,5114 days,14.01095890410959,104,1995,1997,8
Robert C. Scott,Democratic,3rd,Virginia,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,104,1995,1997,2
Norman Sisisky,Democratic,4th,Virginia,1983-01-03,2001-03-29,1983,2001,6660 days,18.246575342465754,104,1995,1997,12
Frank R. Wolf,Republican,10th,Virginia,1981-01-03,2015-01-03,1981,2015,12418 days,34.02191780821918,104,1995,1997,14
Norman D. Dicks,Democratic,6th,Washington,1977-01-03,2013-01-03,1977,2013,13149 days,36.02465753424657,104,1995,1997,18
Jennifer Dunn,Republican,8th,Washington,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,104,1995,1997,2
Doc Hastings,Republican,4th,Washington,1995-01-03,2015-01-03,1995,2015,7305 days,20.013698630136986,104,1995,1997,0
Jim McDermott,Democratic,7th,Washington,1989-01-03,2017-01-03,1989,2017,10227 days,28.019178082191782,104,1995,1997,6
Jack Metcalf,Republican,2nd,Washington,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,104,1995,1997,0
George Nethercutt,Republican,5th,Washington,1995-01-03,2005-01-03,1995,2005,3653 days,10.008219178082191,104,1995,1997,0
Linda Smith,Republican,3rd,Washington,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,104,1995,1997,0
Randy Tate,Republican,9th,Washington,1995-01-03,1997-01-03,1995,1997,731 days,2.0027397260273974,104,1995,1997,0
Rick White,Republican,1st,Washington,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,104,1995,1997,0
Alan Mollohan,Democratic,1st,West_Virginia,1983-01-03,2011-01-03,1983,2011,10227 days,28.019178082191782,104,1995,1997,12
Nick Rahall,Democratic,3rd,West_Virginia,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,104,1995,1997,2
Bob Wise,Democratic,2nd,West_Virginia,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,104,1995,1997,2
Tom Barrett,Democratic,5th,Wisconsin,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,104,1995,1997,2
Steve Gunderson,Republican,3rd,Wisconsin,1981-01-03,1997-01-03,1981,1997,5844 days,16.01095890410959,104,1995,1997,14
Jerry Kleczka,Democratic,4th,Wisconsin,1984-04-03,2005-01-03,1984,2005,7580 days,20.767123287671232,104,1995,1997,11
Scott L. Klug,Republican,2nd,Wisconsin,1991-01-03,1999-01-03,1991,1999,2922 days,8.005479452054795,104,1995,1997,4
Mark Neumann,Republican,1st,Wisconsin,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,104,1995,1997,0
Dave Obey,Democratic,7th,Wisconsin,1969-04-01,2011-01-03,1969,2011,15252 days,41.78630136986301,104,1995,1997,26
Tom Petri,Republican,6th,Wisconsin,1979-04-03,2015-01-03,1979,2015,13059 days,35.778082191780825,104,1995,1997,16
Toby Roth,Republican,8th,Wisconsin,1979-01-03,1997-01-03,1979,1997,6575 days,18.013698630136986,104,1995,1997,16
Jim Sensenbrenner,Republican,9th,Wisconsin,1979-01-03,2003-01-03,1979,2003,8766 days,24.016438356164382,104,1995,1997,16
Robert Aderholt,Republican,4th,Alabama,1997-01-03,2021-11-28,1997,2021,9095 days,24.91780821917808,105,1997,1999,0
Spencer Bachus,Republican,6th,Alabama,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,105,1997,1999,4
Sonny Callahan,Republican,1st,Alabama,1985-01-03,2003-01-03,1985,2003,6574 days,18.01095890410959,105,1997,1999,12
Bud Cramer,Democratic,5th,Alabama,1991-01-03,2009-01-03,1991,2009,6575 days,18.013698630136986,105,1997,1999,6
Terry Everett,Republican,2nd,Alabama,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,105,1997,1999,4
Earl F. Hilliard,Democratic,7th,Alabama,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Bob R. Riley,Republican,3rd,Alabama,1997-01-03,2003-01-03,1997,2003,2191 days,6.002739726027397,105,1997,1999,0
J. D. Hayworth,Republican,6th,Arizona,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,105,1997,1999,2
Jim Kolbe,Republican,5th,Arizona,1985-01-03,2003-01-03,1985,2003,6574 days,18.01095890410959,105,1997,1999,12
Ed Pastor,Democratic,2nd,Arizona,1991-10-03,2003-01-03,1991,2003,4110 days,11.26027397260274,105,1997,1999,6
Matt Salmon,Republican,1st,Arizona,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,105,1997,1999,2
John B. Shadegg,Republican,4th,Arizona,1995-01-03,2003-01-03,1995,2003,2922 days,8.005479452054795,105,1997,1999,2
Bob Stump,Republican,3rd,Arizona,1982-01-03,2003-01-03,1982,2003,7670 days,21.013698630136986,105,1997,1999,15
Marion Berry,Democratic,1st,Arkansas,1997-01-03,2011-01-03,1997,2011,5113 days,14.008219178082191,105,1997,1999,0
Jay Dickey,Republican,4th,Arkansas,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,105,1997,1999,4
Asa Hutchinson,Republican,3rd,Arkansas,1997-01-03,2001-08-06,1997,2001,1676 days,4.5917808219178085,105,1997,1999,0
Vic Snyder,Democratic,2nd,Arkansas,1997-01-03,2011-01-03,1997,2011,5113 days,14.008219178082191,105,1997,1999,0
Xavier Becerra,Democratic,30th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Howard Berman,Democratic,26th,California,1983-01-03,2003-01-03,1983,2003,7305 days,20.013698630136986,105,1997,1999,14
Brian Bilbray,Republican,49th,California,1995-01-03,2001-01-03,1995,2001,2192 days,6.005479452054795,105,1997,1999,2
George Brown Jr.,Democratic,42nd,California,1993-01-03,1999-07-15,1993,1999,2384 days,6.531506849315068,105,1997,1999,4
Ken Calvert,Republican,43rd,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Tom Campbell,Republican,15th,California,1995-01-12,2001-01-03,1995,2001,2183 days,5.980821917808219,105,1997,1999,2
Gary Condit,Democratic,18th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Christopher Cox,Republican,47th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Duke Cunningham,Republican,51st,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Julian C. Dixon,Democratic,32nd,California,1993-01-03,2000-12-08,1993,2000,2896 days,7.934246575342466,105,1997,1999,4
Calvin M. Dooley,Democratic,20th,California,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,105,1997,1999,4
John Doolittle,Republican,4th,California,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,105,1997,1999,4
David Dreier,Republican,28th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Anna Eshoo,Democratic,14th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,105,1997,1999,4
Sam Farr,Democratic,17th,California,1993-06-08,2013-01-03,1993,2013,7149 days,19.586301369863012,105,1997,1999,4
Victor H. Fazio,Democratic,3rd,California,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,105,1997,1999,4
Bob Filner,Democratic,50th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Elton Gallegly,Republican,23rd,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Jane Harman,Democratic,36th,California,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,105,1997,1999,4
Wally Herger,Republican,2nd,California,1987-01-03,2013-01-03,1987,2013,9497 days,26.019178082191782,105,1997,1999,10
Steve Horn,Republican,38th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Duncan L. Hunter,Republican,52nd,California,1993-01-03,2009-01-03,1993,2009,5844 days,16.01095890410959,105,1997,1999,4
Jay Kim,Republican,41st,California,1993-01-03,1999-01-03,1993,1999,2191 days,6.002739726027397,105,1997,1999,4
Tom Lantos,Democratic,12th,California,1993-01-03,2008-02-11,1993,2008,5517 days,15.115068493150686,105,1997,1999,4
Jerry Lewis,Republican,40th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Zoe Lofgren,Democratic,16th,California,1995-01-03,2013-01-03,1995,2013,6575 days,18.013698630136986,105,1997,1999,2
Matthew G. Martínez,Democratic,31st,California,1993-01-03,2000-07-27,1993,2000,2762 days,7.567123287671233,105,1997,1999,4
Bob Matsui,Democratic,5th,California,1993-01-03,2005-01-01,1993,2005,4381 days,12.002739726027396,105,1997,1999,4
Howard McKeon,Republican,25th,California,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,105,1997,1999,4
Juanita Millender-McDonald,Democratic,37th,California,1996-03-26,2007-04-22,1996,2007,4044 days,11.07945205479452,105,1997,1999,1
George Miller,Democratic,7th,California,1975-01-03,2013-01-03,1975,2013,13880 days,38.02739726027397,105,1997,1999,22
Ron Packard,Republican,48th,California,1993-01-03,2001-01-03,1993,2001,2922 days,8.005479452054795,105,1997,1999,4
Nancy Pelosi,Democratic,8th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,105,1997,1999,4
Richard W. Pombo,Republican,11th,California,1993-01-03,2007-01-03,1993,2007,5113 days,14.008219178082191,105,1997,1999,4
George Radanovich,Republican,19th,California,1995-01-03,2011-01-03,1995,2011,5844 days,16.01095890410959,105,1997,1999,2
Frank D. Riggs,Republican,1st,California,1995-01-03,1999-01-03,1995,1999,1461 days,4.002739726027397,105,1997,1999,2
James E. Rogan,Republican,27th,California,1997-01-03,2001-01-03,1997,2001,1461 days,4.002739726027397,105,1997,1999,0
Dana Rohrabacher,Republican,45th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Lucille Roybal-Allard,Democratic,33rd,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Ed Royce,Republican,39th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Loretta Sanchez,Democratic,46th,California,1997-01-03,2003-01-03,1997,2003,2191 days,6.002739726027397,105,1997,1999,0
Brad Sherman,Democratic,24th,California,1997-01-03,2003-01-03,1997,2003,2191 days,6.002739726027397,105,1997,1999,0
Pete Stark,Democratic,13th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,105,1997,1999,4
Ellen Tauscher,Democratic,10th,California,1997-01-03,2009-06-26,1997,2009,4557 days,12.484931506849316,105,1997,1999,0
Bill Thomas,Republican,21st,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Esteban Edward Torres,Democratic,34th,California,1983-01-03,1999-01-03,1983,1999,5844 days,16.01095890410959,105,1997,1999,14
Maxine Waters,Democratic,35th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,105,1997,1999,4
Henry Waxman,Democratic,29th,California,1993-01-03,2003-01-03,1993,2003,3652 days,10.005479452054795,105,1997,1999,4
Lynn Woolsey,Democratic,6th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,105,1997,1999,4
Diana DeGette,Democratic,1st,Colorado,1997-01-03,2021-11-28,1997,2021,9095 days,24.91780821917808,105,1997,1999,0
Joel Hefley,Republican,5th,Colorado,1987-01-03,2007-01-03,1987,2007,7305 days,20.013698630136986,105,1997,1999,10
Scott McInnis,Republican,3rd,Colorado,1993-01-03,2005-01-03,1993,2005,4383 days,12.008219178082191,105,1997,1999,4
Daniel Schaefer,Republican,6th,Colorado,1983-03-29,1999-01-03,1983,1999,5759 days,15.778082191780822,105,1997,1999,14
Bob Schaffer,Republican,4th,Colorado,1997-01-03,2003-01-03,1997,2003,2191 days,6.002739726027397,105,1997,1999,0
David Skaggs,Democratic,2nd,Colorado,1987-01-03,1999-01-03,1987,1999,4383 days,12.008219178082191,105,1997,1999,10
Rosa DeLauro,Democratic,3rd,Connecticut,1991-01-03,2021-11-28,1991,2021,11287 days,30.923287671232877,105,1997,1999,6
Sam Gejdenson,Democratic,2nd,Connecticut,1981-01-03,2001-01-03,1981,2001,7305 days,20.013698630136986,105,1997,1999,16
